Date,SMALL LoOP,ME1 OP2,ME1 OP3,ME1 OP4,ME1 OP5,ME1 OP6,ME1 OP7,ME1 OP8,ME1 OP9,SMALL HiOP,ME2 OP1,ME2 OP2,ME2 OP3,ME2 OP4,ME2 OP5,ME2 OP6,ME2 OP7,ME2 OP8,ME2 OP9,ME2 OP10,ME3 OP1,ME3 OP2,ME3 OP3,ME3 OP4,ME3 OP5,ME3 OP6,ME3 OP7,ME3 OP8,ME3 OP9,ME3 OP10,ME4 OP1,ME4 OP2,ME4 OP3,ME4 OP4,ME4 OP5,ME4 OP6,ME4 OP7,ME4 OP8,ME4 OP9,ME4 OP10,ME5 OP1,ME5 OP2,ME5 OP3,ME5 OP4,ME5 OP5,ME5 OP6,ME5 OP7,ME5 OP8,ME5 OP9,ME5 OP10,ME6 OP1,ME6 OP2,ME6 OP3,ME6 OP4,ME6 OP5,ME6 OP6,ME6 OP7,ME6 OP8,ME6 OP9,ME6 OP10,ME7 OP1,ME7 OP2,ME7 OP3,ME7 OP4,ME7 OP5,ME7 OP6,ME7 OP7,ME7 OP8,ME7 OP9,ME7 OP10,ME8 OP1,ME8 OP2,ME8 OP3,ME8 OP4,ME8 OP5,ME8 OP6,ME8 OP7,ME8 OP8,ME8 OP9,ME8 OP10,ME9 OP1,ME9 OP2,ME9 OP3,ME9 OP4,ME9 OP5,ME9 OP6,ME9 OP7,ME9 OP8,ME9 OP9,ME9 OP10,BIG LoOP,ME10 OP2,ME10 OP3,ME10 OP4,ME10 OP5,ME10 OP6,ME10 OP7,ME10 OP8,ME10 OP9,BIG HiOP
196307,-0.9809,-0.761,-2.1654,-1.2958,3.5301,0.3918,-1.5751,-2.2231,-2.4685,2.3476,0.2156,-1.1461,7.1905,3.0146,-1.5406,5.8371,0.2972,-0.6719,-3.7716,-2.0282,-3.5468,-2.7119,-1.6873,-1.6155,-0.8146,-0.8938,-3.2357,-0.877,-1.0798,1.7547,-1.5063,3.551,-2.2939,-2.9555,-0.4658,-0.923,-0.3526,6.8702,0.7737,0.0064,-0.2893,-1.2048,-0.7783,0.0323,-1.171,0.3032,-2.9625,-2.8663,1.2675,-2.9113,-0.5951,-3.0588,-7.2795,-4.0562,2.1104,-1.6249,-2.0333,-3.2947,-2.621,-0.0743,-3.5718,-2.7533,1.1028,-0.1041,-3.5371,-3.5686,-3.4797,0.5476,0.7054,-0.9415,-3.6055,-4.9193,-1.7307,-1.6258,-1.7407,-1.6856,-1.8097,-1.2626,0.441,-0.7931,5.4348,-1.8925,-2.9234,0.0491,-0.1495,-0.4736,-1.1925,0.6937,-0.0467,0.235,-1.1685,0.9276,-0.8693,2.6507,-1.0059,1.6745,-1.06,-1.5146,-0.1667,1.1319
196308,2.2922,2.2935,4.0368,1.9104,2.1504,-0.1614,4.086,-1.3007,-0.6244,5.0081,1.2615,2.9202,4.4349,3.8437,0.1526,4.875,-2.1842,5.1726,2.3354,5.3144,4.5082,5.845,6.5814,4.235,5.2289,-0.1399,1.3738,-0.3772,6.5031,0.9094,6.8965,7.1956,6.6481,3.6198,2.8343,4.4015,6.0965,12.1931,1.1835,6.0552,6.461,4.2051,2.823,10.9213,5.8494,2.7388,2.0068,6.1871,9.9318,6.2895,8.6999,5.5043,0.5545,4.2455,1.7058,3.1458,2.3223,6.3306,5.3129,7.0854,5.9881,8.2834,3.6345,5.0101,5.5872,6.516,5.1842,2.1182,4.0841,9.0251,4.098,-0.5265,4.4718,6.5027,5.8132,5.9109,4.8351,4.1503,7.0174,5.6866,3.0928,7.8212,4.8406,6.5128,4.7763,3.5611,6.5901,7.4839,3.2421,8.1241,5.8605,2.858,6.0591,2.544,4.8865,4.8887,5.4132,4.6803,5.9409,5.2673
196309,-2.2162,-0.0745,-1.4913,-1.4252,0.6914,0.818,-1.6412,8.5774,3.4117,-0.8486,-2.6002,0.1734,-1.6198,-0.781,-3.5541,-4.5853,1.4597,5.005,0.2219,-4.0808,-1.093,-2.203,-0.4258,-5.2928,-0.9409,4.6498,0.5895,-6.1567,-5.8744,-2.2674,-1.541,-3.676,-2.0241,-0.2883,1.5218,-1.2134,-3.9217,2.1855,-4.5078,-4.8245,-4.0691,2.2842,-0.0826,-3.2986,-1.8332,-2.2085,-0.917,-5.2339,-1.5975,-6.2954,-1.4171,-2.4508,-2.2827,-1.3597,-1.6675,-2.3993,0.5819,-0.764,-2.5758,-5.23,-3.121,-2.6172,-3.4381,-2.192,-7.087,-3.7126,-4.4628,-1.1769,-2.6384,-2.3613,0.1237,-2.7558,0.2833,-0.2689,-1.4418,-2.0561,-3.8493,-2.4469,-0.7043,-4.5809,-8.5,-1.4645,-2.0368,-1.8229,-1.3476,-0.3913,-1.9534,-3.3051,-4.5737,-2.1064,-5.2512,-1.775,-1.0962,-2.8203,2.9807,-2.4069,-2.1163,-1.7432,-1.942,-0.5504
196310,1.5061,-1.5699,-2.4486,1.3552,1.3075,-1.5165,8.2521,1.9109,4.391,-0.8083,0.5922,-1.5578,0.1778,-1.61,4.1503,0.4126,4.6786,0.7018,-2.7389,1.144,3.7943,1.1603,1.2248,3.9989,6.2227,-1.5148,-0.1014,2.6303,6.4195,1.9816,5.1968,2.354,2.5961,4.3839,-0.4276,-0.2099,-0.3182,-8.2066,4.2703,5.5592,1.2867,-1.6806,2.8019,0.5045,3.8781,-0.2438,0.969,0.8666,0.3343,0.4439,2.0586,6.0748,3.0712,2.3898,-0.068,8.0667,7.7146,-0.1865,0.0675,3.0182,-0.0059,3.7039,2.1394,-0.3845,8.1095,2.7878,-2.109,-1.181,4.5209,3.981,5.8937,0.1477,0.8786,0.4866,0.6089,0.8139,-0.4868,-0.5363,-0.1178,6.1257,-10.929,1.7826,0.9143,2.1108,1.8545,-2.0473,3.2418,2.2626,5.0217,1.3699,-2.13,0.3941,0.0601,-0.506,3.4351,1.4208,0.3439,4.8148,3.3702,10.1655
196311,-5.0111,-0.9622,-1.04,3.2039,-0.7138,-1.5584,-4.1738,-0.1568,-5.7208,-4.1602,-0.7135,-0.1001,-3.6698,-4.5727,-2.9212,-7.0041,-3.3415,-2.7589,-2.0431,-2.8076,2.4987,-3.4205,-1.5064,-1.0704,-3.8073,13.4341,-0.1223,-2.2704,2.5484,-4.8745,-3.1519,-1.7126,0.5881,-1.2929,-2.4636,0.2456,-1.1045,-2.2116,-1.9678,-2.932,0.0219,-1.8994,-1.4216,2.1276,-2.578,0.5768,-2.6795,-4.2181,0.2911,-2.8778,-1.8757,-1.8524,-0.8402,-2.1881,-4.195,-3.1837,-4.8133,-3.371,-2.4173,-5.3862,-1.1518,3.2765,-0.2366,-0.2848,-2.6429,-2.7523,-0.3939,-1.5172,-0.319,1.6426,-3.6633,0,-2.0147,-3.4622,-0.7362,1.5539,-0.244,-0.9639,1.1687,-0.6753,22.6994,-2.0051,-2.36,-2.5034,-1.5992,-0.4581,-1.4877,-0.8473,0.3067,-0.614,1.2606,-3.2824,-2.9066,-1.288,2.129,-1.1703,-0.887,1.5671,-0.2979,-5.7281
196312,-4.0102,-1.6114,-3.667,0.8698,-2.2669,-1.9596,2.2488,-3.2792,-0.582,-2.3883,-0.2579,1.953,-2.9419,0.9135,0.1069,-0.4896,-3.028,-0.1234,-4.3359,-2.2746,0.8657,-2.181,-2.8643,0.29,-1.777,10.1586,-2.6576,-1.6037,-3.0839,3.2113,-1.9927,2.0413,2.8167,-2.9345,-3.8267,0.9051,-0.5125,-0.3309,-2.4034,-0.9166,-1.577,2.6332,1.518,2.7856,5.1225,-0.2592,-0.5346,0.4615,6.975,2.9242,0.5868,3.429,0.2424,1.9249,-0.3932,-3.9429,0.1687,-3.5983,1.9862,0.97,0.8132,3.9642,1.7426,1.3746,-4.5059,2.7403,2.1677,1.7689,-0.4266,2.4065,3.7548,5.2433,-1.151,3.2771,-1.3531,2.227,0.9838,0.4126,-0.9559,-2.3634,10,1.0646,2.6996,1.5681,1.0395,2.9008,2.0824,0.491,-0.3955,-2.0452,2.7235,-1.5065,4.937,4.6634,0.2712,3.324,3.5378,3.1744,4.5738,1.5312
196401,7.4963,4.9687,5.0944,4.8699,3.7424,4.737,12.0494,-2.5592,2.6254,4.6349,0.7785,6.74,-3.5492,7.4045,5.6138,-1.2905,9.1415,3.4195,1.2605,1.1786,0.4764,2.1273,2.5035,2.3265,1.6276,1.6889,8.4717,2.4887,4.0382,-1.5094,-0.9673,3.5494,0.2186,4.7903,-1.3912,5.549,3.1097,-6.0908,3.4052,2.1443,1.6975,7.6019,-1.6332,0.9912,1.0815,4.4006,1.3064,4.6411,11.461,-1.2665,3.6851,1.2101,1.9382,3.4041,1.6861,-3.408,4.4746,-3.361,2.0841,3.2625,2.4774,1.1881,0.6781,1.9933,2.2321,-1.0676,-0.8279,1.3626,-0.0537,2.0628,2.2902,3.3661,-0.4933,1.785,1.9061,2.4478,0.9385,0.3504,-0.2021,1.7924,4.0909,2.1549,1.5065,2.8565,0.0215,0.0065,1.1694,-0.8541,2.0486,1.355,0.2483,2.3484,2.6833,5.6454,3.4488,1.1664,0.5226,2.9508,2.1291,3.6314
196402,3.8477,4.509,0.6494,1.3047,0.6695,-2.7355,-1.1881,5.6188,2.6766,-0.3809,4.5891,1.1588,-2.2265,0.7365,-0.372,-1.0249,2.8332,-0.1871,-0.4614,5.5067,3.0182,1.7809,-0.4921,4.3766,2.4483,-6.4565,-6.4798,0.7569,11.9456,4.8338,3.0846,4.8862,0.2458,0.9519,2.1742,-0.2917,1.2439,-1.3787,5.9932,0.3824,3.5077,2.0146,3.6355,5.5663,1.4421,-0.0371,0.3273,3.2188,1.3271,2.4089,3.8173,1.8523,0.5575,0.169,3.5441,0.7128,3.0491,-1.764,2.6088,2.4214,1.5863,2.3524,0.9396,1.7469,0.0152,3.3177,2.793,0.1265,1.8361,5.306,-0.3751,1.2879,3.9295,0.3878,2.6124,5.755,2.0209,2.2436,2.9261,2.6798,3.0568,0.255,3.0412,2.4696,2.6453,0.0629,1.5798,1.7193,-0.6522,7.2935,5.8205,0.7873,1.0926,0.6558,-0.1816,1.1697,0.9472,1.1691,2.3524,1.5096
196403,2.6212,-0.7746,3.9604,2.9041,1.042,4.6636,7.4905,-3.8009,2.0106,3.5598,2.2586,4.0566,-1.3706,2.5317,-0.0678,0.5606,-3.5434,5.4391,-0.9922,0.9313,7.3642,3.9071,5.3704,6.2574,3.0138,-0.0802,4.1563,3.4454,7.472,-1.3352,4.6018,2.3481,6.3953,5.4622,3.7606,1.6878,1.0079,4.0946,1.0921,7.0954,9.7924,8.4127,4.9711,-1.7414,5.9677,8.4936,2.1797,0.5071,-3.7167,6.0953,7.9002,6.2483,3.6107,5.799,-2.41,-0.8405,8.4494,1.9471,2.1585,1.6506,0.5459,7.0377,4.5307,1.0429,8.7003,1.4148,1.1114,-0.88,4.3055,-0.5284,7.4885,1.5321,5.0619,1.8476,2.1205,4.3826,1.3983,3.929,1.1631,5.7592,-2.1186,6.1115,4.6992,0.6724,2.5004,0.5322,0.2112,1.8516,2.5733,0.1267,-2.0407,1.1529,3.266,2.2687,-0.722,0.0464,2.7404,0.5201,2.2326,1.8304
196404,-0.7529,-0.495,0.1866,5.4495,-4.7018,-0.6081,-4.1332,1.0186,-0.5106,-1.6191,0.6698,-3.1385,-0.1842,0.1287,2.4152,2.4513,2.8834,6.7421,-1.2714,-2.1166,-0.7391,-2.9123,-3.7775,-3.2562,-0.3925,-6.6764,-0.177,-0.3668,-2.1411,-4.3161,-2.2263,4.0751,-1.3382,3.6635,-3.5057,-0.2189,-2.3768,-6.1014,1.2837,-0.1496,-5.337,-1.7734,-0.8208,-0.6323,1.6188,-5.9249,-3.6958,-2.7462,-2.0365,-2.5356,-0.3525,-1.2123,-2.777,1.6332,2.2013,3.5479,-9.1831,-2.3399,-1.9803,0.242,0.3419,20.9796,1.7235,-0.6451,-0.4378,-1.2206,-1.8118,2.4396,-4.3983,-8.6047,-1.901,0.0668,1.4482,-1.0922,-0.7733,-1.5255,0.7178,-1.8196,1.2187,-5.8497,-10.3896,-4.6628,-0.4271,-0.5263,-1.2695,0.8072,0.0277,-0.9134,-2.3923,3.3849,4.0687,5.5671,1.4546,3.0856,1.2818,-1.3528,0.6403,-2.9141,-0.0008,1.2972
